system   D            wsystem.c:583  maybe_parent_dir                 [   0.00050] Also searching C:\Users\Hahd\Documents\Visual Studio 2010\Projects\Maze\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00077] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00079] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.04946] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.15841] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.15849] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.15870] added dtor for object 00313BE0, func 51C024FA
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.15944] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.15948] al_display=00313E28
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.15950] al_display->vt=00313D60
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.16196] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.16202] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16205] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16207] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16210] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16212] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16214] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16216] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16219] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16221] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16223] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16225] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16228] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16230] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16232] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16234] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16237] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16239] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16241] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16243] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16246] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16248] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16250] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16259] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16261] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16264] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16266] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16269] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16271] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16274] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16276] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.16279] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.16281] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16283] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16286] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16288] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.16290] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.16293] Single Buffer requirement not met.
